icao,iata,name,city,country,lat,lon
KTUS,TUS,Tucson International Airport,Tucson,US,32.115004,-110.938053
KTVC,TVC,Cherry Capital Airport,Traverse City,US,44.741402,-85.582199
KTVF,TVF,Thief River Falls Regional Airport,Thief River Falls,US,48.065701,-96.184998
KTWF,TWF,Joslin Field Magic Valley Regional Airport,Twin Falls,US,42.4818,-114.487999
KTXK,TXK,Texarkana Regional Airport (Webb Field),Texarkana,US,33.453701,-93.990997
KTYR,TYR,Tyler Pounds Regional Airport,Tyler,US,32.35409927368164,-95.40239715576172
KTYS,TYS,McGhee Tyson Airport,Knoxville/Maryville,US,35.811001,-83.994003
KUIN,UIN,Quincy Regional Airport Baldwin Field,Quincy,US,39.942699,-91.194603
PAUN,UNK,Unalakleet Airport,Unalakleet,US,63.888401,-160.798996
KJQF,USA,Concord-Padgett Regional Airport,Concord,US,35.387798,-80.709099
KSGJ,UST,Northeast Florida Regional Airport,St Augustine,US,29.9592,-81.339798
PAIM,UTO,Indian Mountain LRRS Airport,Utopia Creek,US,65.992798,-153.703995
PAVA,VAK,Chevak Airport,Chevak,US,61.5409,-165.6005
KVCT,VCT,Victoria Regional Airport,Victoria,US,28.85260009765625,-96.91850280761719
PAVD,VDZ,Valdez Pioneer Field,Valdez,US,61.132712,-146.246567
PAVE,VEE,Venetie Airport,Venetie,US,67.008698,-146.365997
KVEL,VEL,Vernal Regional Airport,Vernal,US,40.436214,-109.511661
KVLD,VLD,Valdosta Regional Airport,Valdosta,US,30.782499313354492,-83.27670288085938
KVPS,VPS,Destin-Fort Walton Beach Airport,Valparaiso,US,30.481315,-86.515839
KVRB,VRB,Vero Beach Regional Airport,Vero Beach,US,27.6556,-80.417901
PAIW,WAA,Wales Airport,Wales,US,65.622593,-168.095
PAWB,WBQ,Beaver Airport,Beaver,US,66.362198,-147.406998
PASK,WLK,Selawik Airport,Selawik,US,66.600098,-159.985992
PAWM,WMO,White Mountain Airport,White Mountain,US,64.689201,-163.412994
PANA,WNA,Napakiak Airport,Napakiak,US,60.6903,-161.979004
PAWG,WRG,Wrangell Airport,Wrangell,US,56.48429871,-132.3699951
PFWS,WSN,South Naknek Number 2 Airport,South Naknek,US,58.702362,-157.005444
KWST,WST,Westerly State Airport,Westerly,US,41.349602,-71.803398
PAWN,WTK,Noatak Airport,Noatak,US,67.561241,-162.980461
PAEW,WWT,Mertarvik Airport,Mertarvik,US,60.81037,-164.499511
KWYS,WYS,Yellowstone Airport,West Yellowstone,US,44.6884,-111.117996
KXNA,XNA,Northwest Arkansas National Airport,Fayetteville/Springdale/Rogers,US,36.281898,-94.306801
KXWA,XWA,Williston Basin International Airport,Williston,US,48.260863,-103.75116
PAYA,YAK,Yakutat Airport,Yakutat,US,59.508717,-139.660435
KYKM,YKM,Yakima Air Terminal McAllister Field,Yakima,US,46.56819916,-120.5439987
KNYL,YUM,Yuma International Airport / Marine Corps Air Station Yuma,Yuma,US,32.650938,-114.609375
